session_id,src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_sec,n_events,unique_src_ips,unique_dst_ips,label_majority,detected_patterns,matched_rules,risk_score,attack_chain_description
192.168.1.90_192.168.1.3_26285,192.168.1.90,192.168.1.3,40854.0,22,6.0,1970-01-01 07:18:05,1970-01-01 07:18:05,0.0,2,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_27706,192.168.1.90,192.168.1.3,61224.09086238193,59296,13.608858368858034,1970-01-01 07:41:46,1970-01-01 07:46:29,283.0,11,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_28109,192.168.1.90,192.168.1.3,45368.0,64738,6.0,1970-01-01 07:48:29,1970-01-01 07:53:25,296.0,7,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_28445,192.168.1.90,192.168.1.3,57516.0,64738,6.0,1970-01-01 07:54:05,1970-01-01 07:58:43,278.0,8,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_28790,192.168.1.90,192.168.1.3,0.0,0,0.0,1970-01-01 07:59:50,1970-01-01 08:00:17,27.0,2,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_29312,192.168.1.90,192.168.1.3,42042.0,64738,6.0,1970-01-01 08:08:32,1970-01-01 08:13:02,270.0,12,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_29675,192.168.1.90,192.168.1.3,59658.0,64738,17.0,1970-01-01 08:14:35,1970-01-01 08:19:02,267.0,8,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_30035,192.168.1.90,192.168.1.3,35433.0,64738,17.0,1970-01-01 08:20:35,1970-01-01 08:25:19,284.0,10,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_30376,192.168.1.90,192.168.1.3,49074.64280110813,64738,6.0,1970-01-01 08:26:16,1970-01-01 08:27:22,66.0,5,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_36280,192.168.1.90,192.168.1.3,41001.27823879119,64738,6.0,1970-01-01 10:04:40,1970-01-01 10:04:40,0.0,1,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_2689741,192.168.1.90,192.168.1.3,52958.0,22,6.0,1970-02-01 03:09:01,1970-02-01 03:09:01,0.0,2,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_2697169,192.168.1.90,192.168.1.3,61834.19708378808,48857,6.0,1970-02-01 05:12:49,1970-02-01 05:16:52,243.0,10,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_2697480,192.168.1.90,192.168.1.3,38080.0,64738,6.0,1970-02-01 05:18:00,1970-02-01 05:22:52,292.0,7,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_2697827,192.168.1.90,192.168.1.3,42435.176200179776,64738,17.0,1970-02-01 05:23:47,1970-02-01 05:27:53,246.0,10,1,1,Benign,,,0,Normális tevékenység
192.168.1.90_192.168.1.3_2698136,192.168.1.90,192.168.1.3,62004.552235425304,50646,6.0,1970-02-01 05:28:56,1970-02-01 05:32:27,211.0,8,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_26566,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 07:22:46,1970-01-01 07:26:51,245.0,3,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_26934,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 07:28:54,1970-01-01 07:30:57,123.0,3,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_27303,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 07:35:03,1970-01-01 07:37:06,123.0,3,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_27733,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 07:42:13,1970-01-01 07:46:19,246.0,5,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_28102,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 07:48:22,1970-01-01 07:50:24,122.0,3,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_28470,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 07:54:30,1970-01-01 07:58:36,246.0,5,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_28839,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 08:00:39,1970-01-01 08:00:39,0.0,1,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_29330,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 08:08:50,1970-01-01 08:12:56,246.0,4,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_29699,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 08:14:59,1970-01-01 08:19:05,246.0,5,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_30068,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 08:21:08,1970-01-01 08:25:13,245.0,5,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_36293,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 10:04:53,1970-01-01 10:08:59,246.0,4,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_36662,136.162.16.0,255.255.255.1,51557.08828136716,64738,6.0,1970-01-01 10:11:02,1970-01-01 10:15:08,246.0,3,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_37031,136.162.16.0,255.255.255.1,64738.0,37700,6.0,1970-01-01 10:17:11,1970-01-01 10:21:17,246.0,5,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_37399,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-01-01 10:23:19,1970-01-01 10:23:19,0.0,2,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_2689775,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-02-01 03:09:35,1970-02-01 03:13:40,245.0,4,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_2690143,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-02-01 03:15:43,1970-02-01 03:19:49,246.0,2,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_2690512,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-02-01 03:21:52,1970-02-01 03:25:58,246.0,4,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_2690880,136.162.16.0,255.255.255.1,55324.50033696025,27948,6.0,1970-02-01 03:28:00,1970-02-01 03:28:00,0.0,2,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_2697171,136.162.16.0,255.255.255.1,64738.0,42409,6.0,1970-02-01 05:12:51,1970-02-01 05:16:56,245.0,4,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_2697539,136.162.16.0,255.255.255.1,49755.64250570411,61942,6.0,1970-02-01 05:18:59,1970-02-01 05:23:05,246.0,3,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_2697908,136.162.16.0,255.255.255.1,0.0,0,0.0,1970-02-01 05:25:08,1970-02-01 05:29:14,246.0,4,1,1,Benign,,,0,Normális tevékenység
136.162.16.0_255.255.255.1_2698277,136.162.16.0,255.255.255.1,50208.929105707364,64738,6.0,1970-02-01 05:31:17,1970-02-01 05:31:17,0.0,1,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_27706,192.168.1.3,192.168.1.90,22.0,40854,6.0,1970-01-01 07:41:46,1970-01-01 07:45:50,244.0,5,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_28075,192.168.1.3,192.168.1.90,58426.5764017579,64738,6.0,1970-01-01 07:47:55,1970-01-01 07:52:00,245.0,5,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_28444,192.168.1.3,192.168.1.90,64738.0,37700,6.0,1970-01-01 07:54:04,1970-01-01 07:58:10,246.0,4,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_28814,192.168.1.3,192.168.1.90,55708.86200211383,64738,6.0,1970-01-01 08:00:14,1970-01-01 08:00:14,0.0,2,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_29312,192.168.1.3,192.168.1.90,57859.14110808571,54352,6.0,1970-01-01 08:08:32,1970-01-01 08:12:35,243.0,7,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_29680,192.168.1.3,192.168.1.90,50332.48635940284,64738,6.0,1970-01-01 08:14:40,1970-01-01 08:16:45,125.0,3,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_30046,192.168.1.3,192.168.1.90,0.0,0,0.0,1970-01-01 08:20:46,1970-01-01 08:24:50,244.0,6,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_30415,192.168.1.3,192.168.1.90,54339.39185131095,64738,6.0,1970-01-01 08:26:55,1970-01-01 08:26:55,0.0,1,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_2697169,192.168.1.3,192.168.1.90,0.0,0,0.0,1970-02-01 05:12:49,1970-02-01 05:16:57,248.0,5,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_2697542,192.168.1.3,192.168.1.90,64738.0,47086,6.0,1970-02-01 05:19:02,1970-02-01 05:23:07,245.0,4,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_2697911,192.168.1.3,192.168.1.90,64738.0,47086,6.0,1970-02-01 05:25:11,1970-02-01 05:29:12,241.0,4,1,1,Benign,,,0,Normális tevékenység
192.168.1.3_192.168.1.90_2698272,192.168.1.3,192.168.1.90,64738.0,37700,6.0,1970-02-01 05:31:12,1970-02-01 05:31:12,0.0,1,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_27707,192.168.1.70,192.168.1.3,55422.0,64738,6.0,1970-01-01 07:41:47,1970-01-01 07:46:31,284.0,4,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_28027,192.168.1.70,192.168.1.3,60526.0,64738,6.0,1970-01-01 07:47:07,1970-01-01 07:51:28,261.0,6,1,1,Benign,,,0,Normális tevékenység
